[2026-05-06T08:24:44.645+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-05-06T08:24:44.717+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: eod_pipeline.kite_ingest manual__2026-05-06T08:24:43.402730+00:00 [queued]>
[2026-05-06T08:24:44.734+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: eod_pipeline.kite_ingest manual__2026-05-06T08:24:43.402730+00:00 [queued]>
[2026-05-06T08:24:44.744+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-05-06T08:24:44.766+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): kite_ingest> on 2026-05-06 08:24:43.402730+00:00
[2026-05-06T08:24:44.777+0000] {standard_task_runner.py:63} INFO - Started process 179 to run task
[2026-05-06T08:24:44.786+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'eod_pipeline', 'kite_ingest', 'manual__2026-05-06T08:24:43.402730+00:00', '--job-id', '9', '--raw', '--subdir', 'DAGS_FOLDER/eod_pipeline.py', '--cfg-path', '/tmp/tmp943r9u6v']
[2026-05-06T08:24:44.792+0000] {standard_task_runner.py:91} INFO - Job 9: Subtask kite_ingest
[2026-05-06T08:24:44.947+0000] {task_command.py:426} INFO - Running <TaskInstance: eod_pipeline.kite_ingest manual__2026-05-06T08:24:43.402730+00:00 [running]> on host 8dfb9515d64b
[2026-05-06T08:24:45.515+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='bhavya' AIRFLOW_CTX_DAG_ID='eod_pipeline' AIRFLOW_CTX_TASK_ID='kite_ingest' AIRFLOW_CTX_EXECUTION_DATE='2026-05-06T08:24:43.402730+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-06T08:24:43.402730+00:00'
[2026-05-06T08:24:45.517+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-05-06T08:24:45.611+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-05-06T08:24:45.615+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/airflow/scripts/kite_ingest.py']
[2026-05-06T08:24:45.640+0000] {subprocess.py:86} INFO - Output:
[2026-05-06T08:25:11.654+0000] {subprocess.py:93} INFO - Fetching EOD for 135 stocks on 2026-05-06.
[2026-05-06T08:25:11.658+0000] {subprocess.py:93} INFO - Failed IDFCFIRSTB: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.660+0000] {subprocess.py:93} INFO - Failed PNB: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.661+0000] {subprocess.py:93} INFO - Failed PNBHOUSING: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.663+0000] {subprocess.py:93} INFO - Failed RELIANCE: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.665+0000] {subprocess.py:93} INFO - Failed INDUSTOWER: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.667+0000] {subprocess.py:93} INFO - Failed BAJAJFINSV: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.670+0000] {subprocess.py:93} INFO - Failed SHRIRAMFIN: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.672+0000] {subprocess.py:93} INFO - Failed POLYCAB: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.673+0000] {subprocess.py:93} INFO - Failed CANBK: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.674+0000] {subprocess.py:93} INFO - Failed BANKBARODA: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.675+0000] {subprocess.py:93} INFO - Failed IDEA: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.677+0000] {subprocess.py:93} INFO - Failed CIPLA: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.678+0000] {subprocess.py:93} INFO - Failed AXISBANK: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.680+0000] {subprocess.py:93} INFO - Failed GODREJPROP: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.681+0000] {subprocess.py:93} INFO - Failed SBIN: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.683+0000] {subprocess.py:93} INFO - Failed DRREDDY: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.684+0000] {subprocess.py:93} INFO - Failed TCS: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.687+0000] {subprocess.py:93} INFO - Failed LAURUSLABS: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.689+0000] {subprocess.py:93} INFO - Failed ABCAPITAL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.691+0000] {subprocess.py:93} INFO - Failed BIOCON: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.692+0000] {subprocess.py:93} INFO - Failed BHARTIARTL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.693+0000] {subprocess.py:93} INFO - Failed HINDALCO: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.695+0000] {subprocess.py:93} INFO - Failed HUDCO: Too many requests
[2026-05-06T08:25:11.695+0000] {subprocess.py:93} INFO - Failed ASHOKLEY: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.697+0000] {subprocess.py:93} INFO - Failed PERSISTENT: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.699+0000] {subprocess.py:93} INFO - Failed LICHSGFIN: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.701+0000] {subprocess.py:93} INFO - Failed BOSCHLTD: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.703+0000] {subprocess.py:93} INFO - Failed NBCC: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.706+0000] {subprocess.py:93} INFO - Failed INDUSINDBK: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.707+0000] {subprocess.py:93} INFO - Failed MPHASIS: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.709+0000] {subprocess.py:93} INFO - Failed KALYANKJIL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.710+0000] {subprocess.py:93} INFO - Failed HINDPETRO: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.711+0000] {subprocess.py:93} INFO - Failed INDIGO: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.713+0000] {subprocess.py:93} INFO - Failed HCLTECH: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.715+0000] {subprocess.py:93} INFO - Failed HEROMOTOCO: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.717+0000] {subprocess.py:93} INFO - Failed INFY: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.724+0000] {subprocess.py:93} INFO - Failed BAJFINANCE: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.730+0000] {subprocess.py:93} INFO - Failed TATACONSUM: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.732+0000] {subprocess.py:93} INFO - Failed COFORGE: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.734+0000] {subprocess.py:93} INFO - Failed BEL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.736+0000] {subprocess.py:93} INFO - Failed SAIL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.739+0000] {subprocess.py:93} INFO - Failed PFC: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.741+0000] {subprocess.py:93} INFO - Failed SRF: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.742+0000] {subprocess.py:93} INFO - Failed MANAPPURAM: Too many requests
[2026-05-06T08:25:11.744+0000] {subprocess.py:93} INFO - Failed CHOLAFIN: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.745+0000] {subprocess.py:93} INFO - Failed JIOFIN: Incorrect `api_key` or `access_token`.
